,style,title,link,artist,time,price,address
0,1,布衣乐队《八宝茶》巡演 北京站,/event/135486,艺人：,时间：2021/10/15 20:30,价格：¥110起,[北京]疆进酒·OMNI SPACE
1,1,WarmLive005「温柔的夜」秋日暖歌会,/event/162300,艺人：刘润洁/滚儿（大滚）,时间：2021/10/23 20:00,价格：¥120起,[北京]山谷居民
2,2,【北京乐迷厂牌呈现】「十全十美」全场酒水畅饮,/event/161252,艺人：无线木偶(Wireless puppet)/玩具头乐队/KyoYoko/Since TMRW,时间：2021/10/10 20:00,价格：¥110起,[北京]北京 MAO Livehouse
3,2,布衣乐队《八宝茶》巡演 北京站,/event/135486,艺人：,时间：2021/10/15 20:30,价格：¥110起,[北京]疆进酒·OMNI SPACE
4,2,“艺术家与兵”主题专场演出--黑薄荷，丝绒公路，大象无形联袂呈现！,/event/161652,艺人：丝绒公路/黑薄荷/大象无形乐队,时间：2021/10/17 20:00,价格：¥140起,[北京]北京 MAO Livehouse
5,2,《笑傲江湖》左小祖咒巡演 北京站 10月18日,/event/153604,艺人：左小祖咒,时间：2021/10/18 20:30,价格：¥180起,[北京]糖果LIVE三层
6,2,《笑傲江湖》左小祖咒巡演 北京站 10月19日,/event/153603,艺人：左小祖咒,时间：2021/10/19 20:30,价格：¥180起,[北京]糖果LIVE三层
7,2,【我们是一家人】全场酒水无限畅饮,/event/163528,艺人：无有乐队/苏菲花园/节奏旅行家,时间：2021/10/20 20:00,价格：¥70起,[北京]北京 MAO Livehouse
8,2,【夜猫俱乐部-摇滚热浪】pylon+黄油球+DJ Circle | 全场酒水畅饮,/event/164515,艺人：ButterBall黄油球/pylon/DJ Circle,时间：2021/10/22 23:30,价格：¥99起,[北京]北京 MAO Livehouse
9,2,【百万厂牌呈现】「潜入银河的浪漫」全场酒水畅饮,/event/162415,艺人：水母乐队/失浪潮（LostWave）/星号69/洗浴时间,时间：2021/10/27 20:00,价格：¥109起,[北京]北京 MAO Livehouse
10,2,[全场畅饮] 万圣节魔仙堡「贞心实意」变装派对 北京站,/event/163878,艺人：灵魂伴侣/空心电台 Null Radio/missmix组合,时间：2021/10/31 21:00,价格：¥180起,[北京]北京 MAO Livehouse
11,2,[全场畅饮] 万圣节魔仙堡「暮光倾心」变装派对 北京站,/event/163903,艺人：斑马森林乐队/旧礼物/麻兒豆,时间：2021/11/01 21:00,价格：¥120起,[北京]北京 MAO Livehouse
12,2,【飞狗诚献】「再见乌托邦」全场酒水畅饮,/event/162916,艺人：The Claptraps 小吵闹/十度燕京/瓦洛与琥珀虫,时间：2021/11/03 20:30,价格：¥90起,[北京]北京 MAO Livehouse
13,2,【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（下午场）,/event/162220,艺人：时光胶囊 TimeCapsule/结冰水/春日玫瑰(Spring Roses)/梯雲縱CloudJumpper,时间：2021/11/06 14:30,价格：¥129起,[北京]北京 MAO Livehouse
14,2,【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（夜场）,/event/162226,艺人：时光胶囊 TimeCapsule/结冰水/春日玫瑰(Spring Roses)/梯云纵,时间：2021/11/06 19:30,价格：¥149起,[北京]北京 MAO Livehouse
15,3,鹿洐人「你在开玩笑吗？」2021全国巡演 北京站,/event/159423,艺人：鹿洐人,时间：2021/10/14 20:30,价格：¥80起,[北京]疆进酒·OMNI SPACE
16,3,10月16日 北京麦田音乐节,/event/161325,艺人：刺猬Hedgehog/反光镜乐队/Jacky Danny/Default 缺省/脆莓Brickleberry/房东的猫/郁可唯/动物园钉子户/太一/Fine乐团/余佳运/椅子乐团 The Chairs/白安/尹毓恪/徐炳超,时间：2021/10/16 12:30,价格：¥388起,[北京]温榆河公园朝阳示范区西园
17,3,10月17日 北京麦田音乐节,/event/161327,艺人：秘密行动乐队/孤独的利里_LonelyLeary/谢帝/白皮书/Dr.Paper国蛋/薛之谦/沉默演讲 SilentSpeech/花墙FancyWall/徐秉龙/丹镇北京Dungeon Beijing/泥鳅Zinco/艾瑞欧ERIOE/某幻君/JoZ张哲瑜/K.ila,时间：2021/10/17 12:30,价格：¥388起,[北京]温榆河公园朝阳示范区西园
18,3,「别忘了 Don’t Forget」尚士达 2021 LIVE TOUR 北京站,/event/160604,艺人：尚士达,时间：2021/10/22 20:00,价格：¥180,[北京]糖果LIVE三层
19,3,【百万厂牌呈现】「潜入银河的浪漫」全场酒水畅饮,/event/162415,艺人：水母乐队/失浪潮（LostWave）/星号69/洗浴时间,时间：2021/10/27 20:00,价格：¥109起,[北京]北京 MAO Livehouse
20,3,刘莱斯【和你一起才能看见的风景】2021巡演 北京站,/event/160312,艺人：刘莱斯,时间：2021/10/29 20:00,价格：¥100起,[北京]北京 MAO Livehouse
21,3,【北京糖果站】2021万圣节“魔女惊魂”变装惊悚派对 —奇幻变身，重获新生！,/event/162040,艺人：夜管家乐队,时间：2021/10/31 19:00,价格：¥180起,[北京]糖果LIVE三层
22,4,►全场畅饮 夜猫歌舞厅 音乐交流分享 劲歌热舞派对,/event/163374,艺人：DJ Circle,时间：2021/10/09 23:30,价格：¥99起,[北京]北京 MAO Livehouse
23,4,「港台怀旧夜」夜猫俱乐部,/event/163375,艺人：DJ Circle,时间：2021/10/15 23:30,价格：¥99起,[北京]北京 MAO Livehouse
24,4,夜猫俱乐部特别呈现：HIP-HOP之夜 VOL.2,/event/164319,艺人：DJ Circle,时间：2021/10/16 23:30,价格：¥99起,[北京]北京 MAO Livehouse
25,4,【夜猫俱乐部-摇滚热浪】pylon+黄油球+DJ Circle | 全场酒水畅饮,/event/164515,艺人：ButterBall黄油球/pylon/DJ Circle,时间：2021/10/22 23:30,价格：¥99起,[北京]北京 MAO Livehouse
26,4,夜猫俱乐部「KPOP ALL NIGHT Vol.4」女团专场-甜心狙击特辑,/event/163172,艺人：DJ Circle,时间：2021/10/23 23:30,价格：¥109起,[北京]北京 MAO Livehouse
27,4,川流熙攘 HipHop作品打榜赛 北京站,/event/163207,艺人：小鸭哥/DJ Cruella,时间：2021/10/28 20:00,价格：¥100起,[北京]北京 MAO Livehouse
28,4, 【全场酒水畅饮】夜猫俱乐部“没有”乐队的夏天,/event/164165,艺人：DJ Circle,时间：2021/10/29 23:30,价格：¥99起,[北京]北京 MAO Livehouse
29,4,[全场畅饮] 万圣节魔仙堡「僵心比心」变装派对 23:00场 北京站,/event/163881,艺人：东跑西颠/甜蜜暴躁/DJ Circle/15SSH,时间：2021/10/30 23:00,价格：¥120起,[北京]北京 MAO Livehouse
30,6,陈思键2021 ODD ONE OUT巡演 北京站,/event/156288,艺人：ODD陈思键/AR刘夫阳/愚月FoolMoon,时间：2021/10/10 20:00,价格：¥188起,[北京]疆进酒·OMNI SPACE
31,6,【爱莲说呈现】福星少年 Vol.21 酒水畅饮  |  Zero1 Yimi 坤木 灯泡 小红 老徐 跳燥 YoungPiper,/event/161691,艺人：坤木Joymo/DJ RiRi/老徐/Tiana小红/Yimi3翁一铭/ZeRo1/Young Piper/Fleaboi 跳燥/灯灯灯泡,时间：2021/10/22 19:30,价格：¥120起,[北京]北京 MAO Livehouse
32,6,404Rapper,/event/163122,艺人：弹壳Danko/啊之/李京泽,时间：2021/10/22 23:59,价格：¥180起,[北京]Club SIR.TEEN
33,6,川流熙攘 HipHop作品打榜赛 北京站,/event/163207,艺人：小鸭哥/DJ Cruella,时间：2021/10/28 20:00,价格：¥100起,[北京]北京 MAO Livehouse
34,6,[全场畅饮] 万圣节魔仙堡「僵心比心」变装派对 23:00场 北京站,/event/163881,艺人：东跑西颠/甜蜜暴躁/DJ Circle/15SSH,时间：2021/10/30 23:00,价格：¥120起,[北京]北京 MAO Livehouse
35,23,【北京乐迷厂牌呈现】「十全十美」全场酒水畅饮,/event/161252,艺人：无线木偶(Wireless puppet)/玩具头乐队/KyoYoko/Since TMRW,时间：2021/10/10 20:00,价格：¥110起,[北京]北京 MAO Livehouse
36,23,SUMMER SUNSHINE 夏日阳光乐队 全新专辑巡演 北京站,/event/163209,艺人：SUMMER SUNSHINE,时间：2021/10/15 20:30,价格：¥80起,[北京]北京 MAO Livehouse
37,23,Casino Demon【Here Comes Your Man(Deluxe) 】巡演  北京站,/event/163910,艺人：Casino Demon赌鬼乐队,时间：2021/10/21 20:30,价格：¥150起,[北京]糖果LIVE三层
38,23,【夜猫俱乐部-摇滚热浪】pylon+黄油球+DJ Circle | 全场酒水畅饮,/event/164515,艺人：ButterBall黄油球/pylon/DJ Circle,时间：2021/10/22 23:30,价格：¥99起,[北京]北京 MAO Livehouse
39,23,|休息一夏呈现|【今宵多珍重】孤独的利里/退格/披萨脸,/event/162114,艺人：孤独的利里_LonelyLeary/退格/Pizzaface披萨脸,时间：2021/10/24 20:00,价格：¥130起,[北京]北京 MAO Livehouse
40,23,[全场畅饮] 万圣节魔仙堡「僵心比心」变装派对 19:00场 北京站,/event/163876,艺人：拉披（Larry's Pizza）/自画像乐队/化骨龙乐队,时间：2021/10/30 19:00,价格：¥180起,[北京]北京 MAO Livehouse
41,23,[全场畅饮] 万圣节魔仙堡「贞心实意」变装派对 北京站,/event/163878,艺人：灵魂伴侣/空心电台 Null Radio/missmix组合,时间：2021/10/31 21:00,价格：¥180起,[北京]北京 MAO Livehouse
42,26,10月17日 北京麦田音乐节,/event/161327,艺人：秘密行动乐队/孤独的利里_LonelyLeary/谢帝/白皮书/Dr.Paper国蛋/薛之谦/沉默演讲 SilentSpeech/花墙FancyWall/徐秉龙/丹镇北京Dungeon Beijing/泥鳅Zinco/艾瑞欧ERIOE/某幻君/JoZ张哲瑜/K.ila,时间：2021/10/17 12:30,价格：¥388起,[北京]温榆河公园朝阳示范区西园
43,26,1701｜他方世界 「透气」2021 巡演 北京站,/event/163340,艺人：他方世界,时间：2021/10/17 20:30,价格：¥100,[北京]疆进酒·OMNI SPACE
44,26,XIAN乐计划Vol.25 | POST-X重启之夜,/event/164070,艺人：Kenja Time乐队/The Clinic（克林尼克）,时间：2021/10/20 20:00,价格：¥99起,[北京]疆进酒·OMNI SPACE
45,26,【秋天虫虫虫】悶饼+海德薇+梅西合唱团,/event/160728,艺人：悶餅Moonband/海德薇乐队The HeDwiG/The Messy梅西合唱团,时间：2021/10/23 20:00,价格：¥139起,[北京]北京 MAO Livehouse
46,26,予约——时过夏末2021巡演 北京站,/event/162608,艺人：时过夏末,时间：2021/10/23 20:30,价格：¥120起,[北京]WeShow Live
47,26,寸铁巡演 北京站,/event/163076,艺人：寸铁,时间：2021/10/23 20:30,价格：¥250,[北京]糖果LIVE三层
48,26,|休息一夏呈现|【今宵多珍重】孤独的利里/退格/披萨脸,/event/162114,艺人：孤独的利里_LonelyLeary/退格/Pizzaface披萨脸,时间：2021/10/24 20:00,价格：¥130起,[北京]北京 MAO Livehouse
49,26,【百万厂牌呈现】「潜入银河的浪漫」全场酒水畅饮,/event/162415,艺人：水母乐队/失浪潮（LostWave）/星号69/洗浴时间,时间：2021/10/27 20:00,价格：¥109起,[北京]北京 MAO Livehouse
50,26,[全场畅饮] 万圣节魔仙堡「僵心比心」变装派对 19:00场 北京站,/event/163876,艺人：拉披（Larry's Pizza）/自画像乐队/化骨龙乐队,时间：2021/10/30 19:00,价格：¥180起,[北京]北京 MAO Livehouse
51,26,[全场畅饮] 万圣节魔仙堡「贞心实意」变装派对 北京站,/event/163878,艺人：灵魂伴侣/空心电台 Null Radio/missmix组合,时间：2021/10/31 21:00,价格：¥180起,[北京]北京 MAO Livehouse
52,26,潮池蓝「深夜出走」2021巡演 北京站,/event/161866,艺人：潮池蓝,时间：2021/11/05 20:30,价格：¥80起,[北京]北京 MAO Livehouse
53,26,【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（下午场）,/event/162220,艺人：时光胶囊 TimeCapsule/结冰水/春日玫瑰(Spring Roses)/梯雲縱CloudJumpper,时间：2021/11/06 14:30,价格：¥129起,[北京]北京 MAO Livehouse
